Cell IDs id type pred_loc_x pred_loc_y
100416591302420540942373170232872783233 100416591302420540942373170232872783233 100416591302420540942373170232872783233 L4_5_IT 0.881007300418996 0.740740740740741
100542677892296141453580613270127987555 100542677892296141453580613270127987555 100542677892296141453580613270127987555 L4_5_IT 0.960165799139898 0.518518518518518
102500510899266198503869053721430715211 102500510899266198503869053721430715211 102500510899266198503869053721430715211 L6_IT 0.236084963962907 0.37037037037037
103384017201440493716854958896156052945 103384017201440493716854958896156052945 103384017201440493716854958896156052945 L6_IT 0.569109870291185 0.185185185185185
104078254148375929483440785584365448099 104078254148375929483440785584365448099 104078254148375929483440785584365448099 L4_5_IT 0.333345356784824 0.185185185185185
10551633534698854195667512244395380368 10551633534698854195667512244395380368 10551633534698854195667512244395380368 L5_IT 0.441282613669893 0.148148148148148
106099584344502602441591320617159624141 106099584344502602441591320617159624141 106099584344502602441591320617159624141 L4_5_IT 0.618690709078998 0.0740740740740743
107624669841857750247431772682217706748 107624669841857750247431772682217706748 107624669841857750247431772682217706748 L6_IT 0.23030563081291 0.222222222222222
107811399342642680792197384207607904351 107811399342642680792197384207607904351 107811399342642680792197384207607904351 L2_3_IT 0.361365446562151 0.666666666666667
109081429709921968706565985046875319820 109081429709921968706565985046875319820 109081429709921968706565985046875319820 L5_IT 0.0238404323702715 0.296296296296296
109360506352125279317066752490544958275 109360506352125279317066752490544958275 109360506352125279317066752490544958275 L2_3_IT 0.449014008955332 0.777777777777778
112285502060035374571848108221936600403 112285502060035374571848108221936600403 112285502060035374571848108221936600403 L4_5_IT 0.813150370488303 0.703703703703704
11233221383321075198353264986936722368 11233221383321075198353264986936722368 11233221383321075198353264986936722368 L5_IT 0.751802795319217 0.444444444444445
112550308766293737525669280730208577252 112550308766293737525669280730208577252 112550308766293737525669280730208577252 L5_ET 0.964797864809617 0.333333333333333
114681559891705002088039073640521713147 114681559891705002088039073640521713147 114681559891705002088039073640521713147 L4_5_IT 0.151027342290969 0.296296296296296
114985983811133912950238330229256012889 114985983811133912950238330229256012889 114985983811133912950238330229256012889 L5_ET 0.359229144745789 0.185185185185185
116353805407910584387571737551737340600 116353805407910584387571737551737340600 116353805407910584387571737551737340600 L5_IT 0.968260512437783 0.333333333333333
116360534608654145303047179988853011553 116360534608654145303047179988853011553 116360534608654145303047179988853011553 L5_IT 0.236582615640845 0.259259259259259
116785726937556100281186516461051364828 116785726937556100281186516461051364828 116785726937556100281186516461051364828 L2_3_IT 0.336779278315196 0.259259259259259
118003785217998921016596528015473403147 118003785217998921016596528015473403147 118003785217998921016596528015473403147 L6_IT 0.250135685503851 0.518518518518518
118745106734353639898852478923721352651 118745106734353639898852478923721352651 118745106734353639898852478923721352651 L5_IT 0.437395565127797 0.777777777777778
119080383610612892008204002763244643534 119080383610612892008204002763244643534 119080383610612892008204002763244643534 L6_IT 0.682205571747422 0.851851851851852
119687811692899776940888075660334247761 119687811692899776940888075660334247761 119687811692899776940888075660334247761 L2_3_IT 0.94825469752319 0.37037037037037
11984542956175450668188761484725117489 11984542956175450668188761484725117489 11984542956175450668188761484725117489 L4_5_IT 0.952044822232613 0.592592592592593
120908500276873697147862088000589729798 120908500276873697147862088000589729798 120908500276873697147862088000589729798 L2_3_IT 0.972426154951911 0.814814814814815
12166885478489247987572197996870595112 12166885478489247987572197996870595112 12166885478489247987572197996870595112 L6_IT 0.670297682537134 0.333333333333333
121952618214928757962683264795805291950 121952618214928757962683264795805291950 121952618214928757962683264795805291950 Sst 0.887398565566216 0.777777777777778
123690551734546672113390226933663794691 123690551734546672113390226933663794691 123690551734546672113390226933663794691 L2_3_IT 0.445304553596517 0.62962962962963
124386028643455850996859792318910615771 124386028643455850996859792318910615771 124386028643455850996859792318910615771 L5_ET 0.565875904802523 0.148148148148148
124437525886880767565814528650317668962 124437525886880767565814528650317668962 124437525886880767565814528650317668962 L4_5_IT 0.561984313942638 0.222222222222222
125451478007804373728386002434013409810 125451478007804373728386002434013409810 125451478007804373728386002434013409810 L2_3_IT 0.943917183928303 0.37037037037037
126055755338493046961450301455901234449 126055755338493046961450301455901234449 126055755338493046961450301455901234449 L5_IT 0.369405435291194 0.222222222222222
126326361039643540186520670197887494165 126326361039643540186520670197887494165 126326361039643540186520670197887494165 L5_IT 0.986934130445847 0.740740740740741
126841375253381195874251932614502743208 126841375253381195874251932614502743208 126841375253381195874251932614502743208 L4_5_IT 0.676308858937148 0.333333333333333
127439909612843379461602285775888452781 127439909612843379461602285775888452781 127439909612843379461602285775888452781 L2_3_IT 0.756059521286326 0.555555555555556
